sample_id	read_id	read_len	read_qscore	channel	start_time	end_time	decision	fastp_status	is_mapped	is_uniq	contig_id
sample	926e9bad-7501-4eab-a618-cbdc0651bc35	588	10.651578	510	160.77475	162.60525	signal_negative	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
sample	580ad37b-458e-48ab-9122-f6b788b71284	527	10.777019	478	160.79225	162.525	signal_positive	False	False	True	
sample	6ff272bd-9e00-4bc9-b6f0-3cfad237e4b2	492	10.736796	402	160.167	161.7225	data_service_unblock_mux_change	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
sample	8b860b47-db15-43f4-a1f0-f8eec5608e68	529	8.524687	400	160.331	161.928	data_service_unblock_mux_change	False	False	True	
sample	4a6cbb71-e00d-4aa0-b275-376596ec3419	580	11.310638	340	160.68425	162.42125	data_service_unblock_mux_change	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
sample	03d26463-f9c5-4788-8d08-4e25b01f21a7	457	10.784750	170	160.3425	161.71575	signal_negative	True	False	True	
sample	85906dc2-a9b4-4b3f-ac2a-ac2155679af0	548	11.786715	163	160.95475	162.61374999999998	data_service_unblock_mux_change	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
sample	64e4d54e-8547-4a27-b781-fd8670c4c629	465	10.029421	108	160.407	161.7225	data_service_unblock_mux_change	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
sample	da1d5a5c-4b90-47b6-955a-21283fe3195c	596	11.229571	98	160.7215	162.42125	data_service_unblock_mux_change	True	False	True	
sample	33d3be52-e2bc-417c-a198-0fc55c3024f3	1384	10.906760	57	157.94725	161.8905	signal_positive	True	True	True	NC_001416.1
sample	1869ef64-612c-4367-923d-e071922dfa9c	523	11.090075	277	160.8785	162.61375	data_service_unblock_mux_change	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
sample	678d911d-de8b-4e02-aeab-289dee1fea7a	469	8.628089	66	161.25425	162.61375	data_service_unblock_mux_change	False	False	True	
sample	ee2b783a-5fb5-4987-94e0-8cd4874d1706	515	9.144243	203	160.55275	161.928	data_service_unblock_mux_change	False	False	True	
sample	746d5b2e-6899-451c-8ecd-4547ba9d5ca2	829	11.138571	444	160.6975	163.1635	signal_positive	True	True	True	NC_001416.1
sample	7a5e4595-cb1a-4eee-9c35-d0291c94d0d7	2607	9.654415	386	157.0935	163.494	signal_positive	False	False	True	
sample	3b70f8cd-c65a-4012-9482-469d4edcc187	4550	9.648731	360	151.14125	162.68050000000002	signal_positive	False	False	True	
sample	2f46895d-8fdc-4bb3-9338-2bd1e8c08366	383	9.812528	305	161.382	162.76675	data_service_unblock_mux_change	False	False	True	
sample	3ce24da2-9aad-4f8e-97a6-fd66c87aba82	386	11.522453	229	161.33625	162.76675	data_service_unblock_mux_change	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
sample	65bc36de-9f1b-4c9c-8bf4-93bcc1f4108d	2858	9.957668	285	155.6335	163.27125	signal_positive	False	False	True	
sample	893e826a-e8d9-4c80-94d3-4707be921df4	3002	10.023153	272	154.79325	162.80325	signal_positive	False	False	True	
sample	6ee84e8f-5bd7-4a71-a89b-df2222d5fbd6	166	9.135435	271	162.18325	162.85725	signal_positive	False	False	True	
sample	8e8c138d-11d9-4c1f-93a6-628eae9bd2f3	482	9.647595	344	161.17775	162.76675	data_service_unblock_mux_change	False	False	True	
sample	beddb819-aabb-45f5-a154-1f8312c6bb22	1187	9.464663	247	159.46825	162.75725	signal_positive	False	False	True	
sample	ad740874-c5ea-46dc-a2fb-7c58899aa560	464	10.167055	246	161.3015	162.7585	signal_negative	False	False	True	
sample	60ff3b97-b7fd-4890-a4e3-b9979d67d044	616	10.596080	218	161.6945	163.399	data_service_unblock_mux_change	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
sample	39696a1a-a21f-4130-8717-754a2c2480d0	593	9.918062	147	161.4185	162.959	data_service_unblock_mux_change	False	False	True	
sample	a5adf4f2-78e9-43a1-9e0e-30d69b63fe8d	130	9.663968	76	162.04175	162.71875	signal_positive	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
sample	8fab921d-2c77-4f5c-92c5-414073b3e501	572	11.388015	204	161.386	162.95374999999999	signal_negative	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
sample	98bc8b4f-1d54-4fc8-9b71-d6e3b8942396	1961	11.119940	87	158.333	163.1195	signal_positive	True	True	True	NC_001416.1
sample	8bcfad6d-5437-403b-9af2-0f87ef9a2d65	415	9.999290	509	162.73075	164.404	signal_negative	False	False	True	
sample	6d8c1034-2933-4c29-982e-bf7d72a41336	1930	11.070168	404	159.21125	164.47275000000002	signal_positive	True	True	True	NC_001416.1
sample	5eb30d57-8fcc-4d06-a61b-5d273dc006f4	486	8.752759	402	162.9705	164.60975	data_service_unblock_mux_change	False	False	True	
sample	28d6d7ca-74a6-40b9-a292-aa1d4db3cdef	515	8.705455	42	161.9475	163.65525	data_service_unblock_mux_change	False	False	True	
sample	f5640be0-965b-44f0-b956-f0f60471f10c	688	8.727149	371	161.8145	163.65525000000002	data_service_unblock_mux_change	False	False	True	
sample	ed80b64d-a5bc-4f24-9482-9605433c2f79	558	10.188245	364	162.01425	163.65525	data_service_unblock_mux_change	False	False	True	
sample	471e6ac7-7f61-4461-9013-6cba0d5c6780	591	10.082917	349	161.95425	163.65525	data_service_unblock_mux_change	False	False	True	
sample	41396d3f-7405-4be5-85c7-5561cb9cb99b	507	10.015206	235	162.56525	164.16549999999998	data_service_unblock_mux_change	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
sample	f8e4ef67-34c0-4278-9f7d-c8a9dbda5ff4	475	11.773240	170	162.11475	163.64849999999998	signal_negative	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
sample	c89fd3eb-22c8-43f5-9bba-2bc0029d205a	520	11.499885	93	162.796	164.4065	signal_negative	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
sample	69b167c5-cfd5-4911-93c3-971be58e6db9	571	10.882434	86	162.38225	163.873	signal_negative	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
sample	9c84a815-a0ba-4e98-ac6e-7620e322a150	493	9.925160	56	162.3685	163.877	data_service_unblock_mux_change	False	False	True	
sample	3e541c2a-c7ce-43e1-a238-4b3832d33bce	446	8.282708	34	162.94175	164.40550000000002	signal_negative	False	False	True	
sample	e431f0fb-7741-43c0-ab64-c5f77ae0c68f	1460	8.568211	494	161.73425	165.50675	signal_positive	False	False	True	
sample	ea7feb39-726a-45f4-a286-5a26359b79d5	536	9.697968	429	163.42175	164.99450000000002	data_service_unblock_mux_change	False	False	True	
sample	9e2be39a-ec84-4193-8a2a-dc2510dcaf64	471	9.813912	317	163.77175	165.59725	data_service_unblock_mux_change	False	False	True	
sample	3f96bf8c-6110-41de-97ad-ccb2e62527e1	167	10.526368	270	164.9175	165.69475	signal_positive	False	False	True	
sample	f3a60372-f0a2-4fd3-b05e-b66ff850513c	212	10.816859	225	164.3255	165.27425	signal_positive	True	True	True	NC_001416.1
sample	2871e912-e83c-4364-932c-172054463daa	479	10.384599	174	163.27775	164.79825	signal_negative	False	False	True	
sample	94cac0d5-fbc7-45b7-a8d9-c43f1c8a6d8a	4415	8.894778	79	154.7715	165.58475	signal_positive	False	False	True	
sample	33435f2f-edf9-425c-afc4-7bab056f4a3c	6510	9.873981	105	148.07975	164.66125	signal_positive	False	False	True	
sample	e54c44f9-8eaa-4004-a489-de0869f05e37	422	9.266974	24	163.55725	164.99450000000002	data_service_unblock_mux_change	False	False	True	
sample	3bf4b62c-4e54-498b-ad51-01af07f04536	530	9.980017	497	164.1415	165.85150000000002	data_service_unblock_mux_change	False	False	True	
sample	95989c26-f343-4de5-a61d-c3b3b6a2c23b	557	11.234283	479	164.66325	166.2885	data_service_unblock_mux_change	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
sample	a7bcc54e-c285-42c5-9918-3a492a6acb2a	580	9.095096	469	164.18675	165.8515	data_service_unblock_mux_change	False	False	True	
sample	e6007ac4-4a97-4391-8bd2-8e551c83bb7c	411	9.411628	349	164.28725	165.84675000000001	signal_negative	False	False	True	
sample	390156b1-afe3-492f-91b3-28c667211326	561	10.598109	143	164.156	165.85150000000002	data_service_unblock_mux_change	False	False	True	
sample	4d971ea9-2fe7-4a7b-a558-c31436d4efac	562	10.557703	340	164.8125	166.464	data_service_unblock_mux_change	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
sample	80e8db19-d405-4ef1-8742-827067dafee9	2928	10.681091	131	159.31475	166.46675	signal_positive	False	False	True	
sample	f8fa4769-4bbd-4a7d-8b5e-660ddcd1aac9	473	9.469703	258	164.82975	166.464	data_service_unblock_mux_change	False	False	True	
sample	e8d5c5d1-590c-463b-9c87-3f28b8bb5090	616	10.922732	221	164.11775	165.8515	data_service_unblock_mux_change	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
sample	c25116cf-0585-4aa1-a2f5-9e710427556a	454	8.558628	213	164.54025	166.07999999999998	data_service_unblock_mux_change	False	False	True	
sample	020c4592-0547-4ad4-8183-76b0c39d25f2	418	10.718250	199	164.80325	166.2885	data_service_unblock_mux_change	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
sample	2404e878-f455-45ad-b419-aae94ea94097	292	9.932746	190	164.514	166.08	data_service_unblock_mux_change	False	False	True	
sample	df8c46bf-5db8-49c1-af19-c206a111eaf6	11680	10.165670	110	137.4015	166.4425	signal_positive	True	True	True	NC_001416.1
sample	0e5e5f13-e475-4a6e-85a6-dec05b4c9afb	3597	8.305829	39	156.52375	165.80375	signal_positive	False	False	True	
sample	35d10363-2274-4455-a66f-a669fbec86a2	3280	9.959125	28	159.02925	166.16674999999998	signal_positive	False	False	True	
sample	cf0606fe-ae3c-4414-a328-321807b580e7	268	8.401238	13	165.1105	165.899	signal_positive	False	False	True	
sample	745832a2-107c-4ece-b794-0b7bc5af0174	3164	10.182044	436	159.41425	166.90900000000002	signal_positive	False	False	True	
sample	06bdf09a-8b14-408e-91d7-e79b66113821	4390	9.354660	462	156.407	167.1635	signal_positive	False	False	True	
sample	3abc56eb-05a4-4b15-9eef-76d8c67214c3	697	9.138330	341	165.73325	167.54575	data_service_unblock_mux_change	False	False	True	
sample	a7fd0a16-0486-468e-8f71-215b5cdfafb6	253	10.502940	196	165.8835	166.82825	signal_positive	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
sample	2b305d60-ef83-44ad-9830-c4084a13ac13	478	9.580455	178	165.502	167.04250000000002	data_service_unblock_mux_change	False	False	True	
